text,question,answer
الضبة هي إحدى قرى عزلة ظهاى بمديرية الجميمة التابعة لمحافظة حجة، بلغ تعداد سكانها 74 نسمة حسب تعداد اليمن لعام 2004.,الضبة تقع في أي محافظة؟,حجة
التحق نمورة بقوى الثورة الفلسطينية عام 1980، وشارك في التصدي للاجتياح الإسرائيلي لبيروت عام 1982. اُعتقل في الأردن بين عامي 1984 و1989 بتهمة قيادة دورية عسكرية متوجهة إلى فلسطين على الحدود الفلسطينية الأردنية.,ما هي اتهامات نمورة في الأردن؟,قيادة دورية عسكرية متجهة إلى فلسطين.
إد بوجوا هو دُوَّار يقع بجماعة سيدي بو عبد اللي، إقليم تيزنيت، جهة سوس ماسة في المملكة المغربية. ينتمي الدوّار لمشيخة أزيلال التي تضم 19 دوار. يقدر عدد سكانه بـ 29 نسمة حسب الإحصاء الرسمي للسكان والسكنى لسنة 2004.,إلى أي مشيخة ينتمي دوار إد بوجوا؟,مشيخة أزيلال
اثنا عشر دقيقة هي لعبة فيديو مغامرات من تطوير لويس أنطونيو ونشر شركة أنابورنا إنتراكتيف. صدرت اللعبة بشكل رسمي في 19 أغسطس 2021 علي مايكروسوفت ويندوز، وإكس بوكس ون، وإكس بوكس سيريس إكس وسيريس أس. تَدور أحداث اللعبة في إطار تفاعلي يَلعب فيه اللاعب دور رجل عَلق في حلقة زمنية، حيث يواصل ضابط شرطة اقتحام منزله واعتقال أو قتل زوجته بسبب جريمة قتل مزعومة، وجميع هذه الأحداث بأكملها داخل شقة واحدة والأمر متروك للاعب لاتخاذ الخيارات الصحيحة وكسر هذه الحلقة الزمنية وكشف الغموض.,متى تم إصدار لعبة اثنا عشر دقيقة رسميًا؟,صدرت في 19 أغسطس 2021.
تتربع الجزائر على أكثر من 1200 كلم من السواحل إذ يحدها شمالا البحر الأبيض المتوسط. وللجزائر حدود مع عدة بلدان تونس وليبيا شرقا، مالي والنيجر جنوبا، موريتانيا والصحراء الغربية في الجنوب الغربي والمملكة المغربية غربا.,ما عدد كيلومترات السواحل التي تمتلكها الجزائر؟,أكثر من 1200 كيلومتر
بحيرة ساراناك العليا هي واحدة من ثلاث بحيرات متصلة، وهي جزء من نهر ساراناك، في مدينتي سانتا كلارا وهارييتستاون، بالقرب من قرية بحيرة ساراناك في أديرونداكس في شمال نيويورك. بحيرة ساراناك العليا هي سادس أكبر بحيرة في آديرونداكس. مع بحيرة وسط ساراناك وبحيرة ساراناك السفلى، على بعد مجداف بحمل واحد فقط ممكن. هناك 20 موقعًا للمخيمات البدائية يمكن الوصول إليها عن طريق القوارب المتاحة على أساس أسبقية الحضور. تُعرف بحيرة ساراناك العليا أيضًا باسم Sin-ha-lo-nen-ne-pus.,كيف يمكن الوصول إلى مواقع المخيمات على بحيرة ساراناك العليا؟,عن طريق القوارب بأسبقية الحضور
أحدث المعهد الوطني للإدارة العامة (INA) بموجب المرسوم التشريعي 27 تاريخ 12/5/2002 بهدف إعداد وتأهيل أطر إدارية تأهيلاً رفيع المستوى لدعم خطط تطوير وتحديث الإدارات العامة في الدولة.,ما هو تاريخ إصدار المرسوم الذي أنشأ المعهد الوطني للإدارة العامة؟,تاريخ 12/5/2002.
يصل جزء من الاشعة فوق البنفسجية خلال الهواء إلى سطح الأرض وهي أشعة ضارة للإنسان. لهذا لاينصح بالتعرض المباشر لاشعة الشمس لفترة طويلة، كما يستحسن دهان الجلد المعرض للشمس بمراهم خاصة للحماية من الأشعة فوق البنفسجية.,ماذا يجب فعله لحماية البشرة من الأشعة فوق البنفسجية؟,دهان الجلد بمراهم حماية
بركة مربعة الشكل لها دعام أسطوانية، قطرها 29.4 سم حسب تقرير المسح الأثري، ولها جداران أحدهما داخلي سمكه 60 سم والآخر خارجي سمكه 90 سم، وتضم بئراً قطره 120 سم يحتوي على ماء بعمق 3 م. يوجد درج في جدراها الشرقي يتكون من 13 درجة، يوجد بها مصفاة، ومدخل للماء في الجهة المقابلة للدرج في الجدار الغربي. بُنيت بطريقة فريدة من نوعها وما زالت تحتفظ بمعالمها. وصفها ياقوت الحموي في معجم البلدان بقوله: «الجُرَيسي: موضع بين القاع وزُبالة في طريق مكة على ميلين من الهيثم لقاصد مكة فيه بركة وقصر خراب وبينه وبين زُبالة أحد عشر ميلاً».,ما هو قطر الدعام الأسطواني للبركة؟,29.4 سم
تتناول هذه المقالة التسلسل الزمني للحرب الإسبانية المغربية (وتسمى أيضًا الحرب الإسبانية المغربية (1859-1860) أو حرب تطاوين حرب أفريقيا)، وهي حرب اندلعت بين إسبانيا وسلطنة المغرب في الفترة من 1859 و 1860 في عهد ملكة إسبانيا إيزابيل الثانية وسلطان المغرب محمد الرابع.,ما الاسم الآخر الذي تُعرف به الحرب الإسبانية المغربية؟,حرب أفريقيا
خلال القرن التاسع عشر في ألمانيا، تبنّى المستشار المحافظ المستقل أوتو فون بسمارك سياسات التأمين الإجباري الذي أدارته الدولة للعاملين ضد المرض والحوادث والعجز والشيخوخة كجزء من برنامج الدولة الاجتماعي. روّج ليو فون كابريفي، وهو مستشار محافظ مستقل آخر، أجندة محافظة تُسمى المنحى الجديد.,ما نوع سياسات التأمين التي قام بها أوتو فون بسمارك؟,التأمين الإجباري للعاملين ضد المرض والحوادث والعجز والشيخوخة
هي مرحلة أقيمت في 14 يونيو 2017، وامتدّت لمسافة 7.5 كيلومتر. فاز بالمرحلة بريمو روغيليتش، وكان متصدر الترتيب العام في نهاية المرحلة بريمو روغيليتش.,من فاز بالمرحلة؟,بريمو روغيليتش
بعثة المراقبة التابعة للاتحاد الأوروبي في جورجيا هي بعثة حفظ سلام غير مسلحة يديرها الاتحاد الأوروبي في جورجيا. تم وضع تصور للبعثة في سبتمبر 2008 بعد اتفاق وقف إطلاق النار بوساطة الاتحاد الأوروبي والذي أنهى الحرب الروسية الجورجية. تضم البعثة حوالي 200 مراقب من مختلف الدول الأعضاء في الاتحاد الأوروبي وتعمل بميزانية سنوية تبلغ حوالي 18 مليون يورو. يقع مقرها الرئيسي في تبليسي ولها مكاتب ميدانية في غوري ومتسخيتا وزوغديدي.,متى تم وضع تصور لبعثة المراقبة في جورجيا؟,سبتمبر 2008
قالوا في إثبات تناهي الأبعاد أيضا إنّا نقسم جسما على هيئة الدائرة وليكن ترسا بستة أقسام متساوية، بأن يقسّم أولا محيط دائرته إلى ستّ قطع متساوية، ثم يوصل بين النقطة المقابلة بخطوط متقاطعة على مركزه فيقسّم حينئذ على أقسام ستّة متساوية، يحيط بكل قسم منها ضلعان، ثم نخرج الأضلاع كلّها إلى غير النهاية، ثم نردّد في كل قسم فنقول: هو في عرضه إمّا غير متناه فينحصر ما لا يتناهى بين حاصرين، وإمّا متناه فكذا الكلّ متناه أيضا لأنّه ضعف المتناهي الذي هوأحد الأقسام بستّ مرات.,كيف يمكن تقسيم جسم إلى أقسام متساوية باستخدام دائرة؟,بقسمة الدائرة إلى أقسام وربط النقاط المقابلة بخطوط.
جرترود سوير هي مهندسة معمارية أمريكية، ولدت في 2 أبريل 1895 في توسكولا في الولايات المتحدة، وتوفيت في 2 فبراير 1996 في كاليفورنيا في الولايات المتحدة.,ما هي تاريخ ميلاد جرترود سوير؟,2 أبريل 1895
تعلم ابن مرزوق الكفيف عند والده محمد بن مرزوق فأخذ عنه العلم، قرأ عليه الصحيحين والموطأ وغيرها من مؤلفات والده وغيرها، وتفقه عليه وأجازه عموما، وأخذ العلم عن جماعة من علماء زمانه عير والده، فأحذ عن عالمي تلمسان أبو الفضل ابن الإمام وأبو الفضل العقباني، وغيرهما واللجائي أحمد بن محمد بن عيسى، والثعالبي، والنظار أبي عبد الله محمد بن أبي القاسم المشدالي، وقاضي الجماعة ابن عقاب وحافظ الإسلام ابن حجر العسقلاني، وكل هؤلاء أجازوه، وقرأ عليهم مشافهة، إلا ابن حجر فمكاتبة، ومن شيوخه العلامة ابن العباس التلمساني وغيره.,أين حصل ابن مرزوق على إجازة العلم من أبو الفضل ابن الإمام؟,في تلمسان
ولقد نشرت صحيفة اليمامة: حديثاً بمناسبة اليوم الوطني ورد به ما سبق أن أورده الأستاذ عبد الله بن محمد بن خميس، في كتابه تاريخ اليمامة ومانصه: (هو إبراهيم النشمي من الرجال الذين يقول عليهم وتسند إليه المهمات ولاه الملك عبد العزيز عدة إمارات وقاد السرايا والجيوش وكتب له عدة كتابات رأيت فيها النخوة والحفز وقد صحبه كثير في غزواته وحروبه.,ماذا فعل إبراهيم النشمي؟,قاد الجيوش والسرايا
عقيدات كوبه هي عُقيداتٌ صغيرة تظهر على الهامش الداخلي للقزحية لدى مرضى التهاب العنبية الأمامي الحبيبي، والذي يحدث في حالاتٍ مثل الساركويد والسل. تتكون العقيدات من خلايا شبه ظهارية وخلايا عملاقة مُحاطة بخلايا لمفاوية.,ما يتكون منه العقيدات؟,خلايا شبه ظهارية وخلايا عملاقة محاطة بخلايا لمفاوية.
الدوري اللبناني الممتاز 2010–11 هو الموسم الحادي والخمسون لدوري كرة القدم الممتاز في لبنان، وهو أعلى دوري احترافي لبناني لأندية كرة القدم منذ تأسيسه في عام 1933، بدأ الموسم في السبت 9 أكتوبر 2010 وانتهى في الأحد 24 أبريل 2011، حيث تنافس في الدوري اثني عشر فريقًا، وفاز به حامل اللقب نادي العهد للمرة الثالثة في تاريخه، بنتيجة 1:0 في مباراته أمام نادي الصفاء في 2 أبريل 2011، وقد خاض فريق نادي العهد 22 مباراة، فاز بـ 17 مباراة منها، وتعادل في 4 مباريات، وخسر مباراة واحدة، وكانت مجموع نقاطه 55 نقطة، وفاز حسن معتوق بجائزة «أفضل هداف» بعد أن أحرز 15 هدفاً.,كم عدد نقاط فريق نادي العهد في الموسم؟,55 نقطة
مشاهدة الطيور أو مراقبة الطيور نشاط ترفيهي يمارس إما بالعين المجردة أو بأجهزة بصرية كالنظارة المقربة أو المقراب. وقد يقتصر الأمر على الاستماع لأصوات الطيور.,هل يمكن ممارسة مراقبة الطيور دون استخدام أجهزة بصرية؟,نعم، بالعين المجردة
الجربة هي إحدى قرى عزلة القطن بمديرية القطن التابعة لمحافظة حضرموت، بلغ تعداد سكانها 34 نسمة حسب تعداد اليمن لعام 2004.,ما هي الجربة من حيث التبعية الإدارية؟,قرية في محافظة حضرموت
رُتَب القُوَّات الْمُسَلَّحَة هي الصفة أو المَنْصِب أو اللَّقَب الذي يقترن باسم الفرد العسكري ليضعه ضمن الهيكل التنظيمي للقوات المسلحة، محددًا له صلاحياته ومسؤولياته وواجباته وامتيازاته. وهي شارات توضح التنظيم الهرمي للمُؤسَّسة الْعَسْكَرِيَّة، فالرُتَب الْعَسْكَرِيَّة نظام لعلاقة تسلسلية لتنظيم العلاقة بين الرئيس الذي يتحمل مسؤولية إصدار القرارات والأوامر والتعليمات والإشراف على تنفيذها، من جهة، والمرؤوس الذي يتوجب عليه الطاعة والتنفيذ من جهة أخرى، وعلى مدى دقة وسلامة هذه العلاقة يدور دولاب العمل العَسكَريّ سلمًا وحربًا. تتبنى كُل دولة أنظمة خاصة بتحديد الصلاحيات والواجبات المتعلقة بِكُل رُتبة، كما أنَّ لكل دولة قوانينها التي تحدد أوقات التدرج والترقية من رُتبة إلى أخرى، وكذلك شروط منح الرُتبة ونزعها أو تجريد حاملها منها والسلطات المخولة بذلك. وقد يختلف شكل تلك الشارات حسب الأفرع المختلفة للْجَيْش الْعِرَاقِيّ.,ما هي العلاقة بين الرئيس والمرؤوس في القوّات المسلحة؟,علاقة تسلسلية للتنظيم والإشراف
نفذ سلسة تقارير أخرى عن ميانمار وكوريا الجنوبية والتبت، وإقليم تركستان الشرقية المضطرب شمال غرب الصين، وانتهاء بالمشاركة في تغطية موسم الحج لعام 2015. أنجز عدة لقاءات مع شخصيات صينية ودولية معروفة كمستشار مجلس الدولة الصيني، تانغ جيا شوان، ووزير الخارجية الصيني، وانغ إي، والرئيس الكوري الجنوبي الراحل، ري مو هيون، والتركي، رجب طيب أردوغان، وكذلك بان كي مون، عندما كان وزيرًا للخارجية، وغيرهم من المسؤولين وأصحاب القرار.,مع من تم إجراء عدة لقاءات كمستشار صيني ووزير كوري راحل؟,تانغ جيا شوان وانغ إي وري مو هيون ورجب طيب أردوغان
بلغ عدد الأسر 142 أسرة كانت نسبة 20.4% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 43.0% من أصل المجموع الكلي للأسر، ونسبة 9.9% من الأسر كان لديها معيلات من الإناث دون وجود شريك، وكانت نسبة 42.3% من غير العائلات. تألفت نسبة 38.0% من أصل جميع الأسر من أفراد ونسبة 21.1% كانوا يعيش معهم شخص وحيد يبلغ من العمر 65 عاماً فما فوق. وبلغ متوسط حجم الأسرة المعيشية 2.63، أما متوسط حجم العائلات فبلغ 2.05.,ما هو متوسط حجم الأسرة المعيشية؟,2.63
للأوديسة تتمة مفقودة وهي التليجونية، والتي لم يكتبها هومر بل كانت تنسب قديماً لسيراثون الذي ينحدر من إسبرطة. ويشير أحد المراجع، إلى أن التليجونية سرقها يواجمون القوريني، والتي ينحدر من قورينا التي هي الآن في ليبيا.,أين تقع قورينا التي ينسب إليها يواجمون؟,في ليبيا الحالية
قدمت الباحثتان هنريتا ليونارد وسوزان سويدو أدلة على وجود عوامل خطر مناعية عصبية ذات علاقة باضطراب الوسواس القهري، وذلك من خلال ورقة بحثية تحت عنوان «اختلالات المناعة الذاتية النفسية والعصبية المصاحبة لعدوى البكتيريا الكروية السبحية في الأطفال» (التي يُطلق عليها اختصارًا اسم باندز). يقترح الباحثون أن المناعة الذاتية المتولدة بعد العدوى من البكتيريا العقدية من الأسباب البيئية المحيطة المحتملة لظهور الوسواس القهري لدى الأطفال. إذ أظهرت مجموعة من الأطفال تفاقمًا في حدة أعراض الوسواس القهري بعد إصابتهم بعدوى البكتيريا العقدية. الفرضية الأساسية المستخلصة من هذه الدراسة، هي أن اضطراب الوسواس القهري قد نشأ في بعض الحالات نتيجة لرد فعل مناعي ذاتي كان له دور في مهاجمة العقد القاعدية وتدميرها من قِبل الأجسام المضادة لبكتيريا العقد القاعدية.,ما هي الفرضية الأساسية المستخلصة من الدراسة؟,الرد الفعل المناعي الذاتي قد يسبب اضطراب الوسواس القهري
الشاب خلاص هو مغني جزائري من مواليد مدينة قسنطينة، إخلاص براهيمي هو الاسم الكامل للفنان الذي أصبح نجم السطايفي. تعرّف عليه الجمهور مبكراً بعد أن اكتشف فيه طاقات صوتية مذهلة و يعتبر الشاب خلاص النجم السطايفي ومن منافسيه الشيخ السلطان وفواز لاكلاس والشاب ياسين التيقر وحتى أنه أحياناً يغني طابع الراي.,من منافسي الشاب خلاص في عالم الغناء بالسطايفية؟,الشيخ السلطان وفواز لاكلاس والشاب ياسين التيقر.
تكون كل من الفلافينات الحرة، والمرتبطة بالبروتين قابلة للاختزال ضوئي الإحداث، والتي يمكن اختزالها بواسطة الضوء ضمن آلية تتوسط فيها عدة مركبات عضوية مثل بعض الأحماض الأمينية والأحماض الكربوكسيلية والأمينات. تستفيد مختلف البروتينات الحساسة للضوء من هذه الخاصية الموجودة في مركبات الفلافين. على سبيل المثال، يخضع مجال LOV، الموجود في العديد من أنواع النباتات والفطريات والبكتيريا، إلى تغير هيكلي قابل للانعكاس، ومُعتمد على الضوء، ويتضمن ذلك تشكيل رابطة بين بقايا السيستين في سلسلتها الببتيدية، ورابطة أحداي نوَويد الفلافين.,ما العنصر الذي يمكنه اختزال الفلافينات؟,الضوء
رضى الهجهوج هو لاعب كرة قدم مغربي من مواليد 2 يوليو 1994 بمدينة الدار البيضاء ، يشغل مركز الهجوم، بدا مشواره الكروي بنادي الوداد الرياضي حيت تكون وتدرج في جميع فئاته. وأنتقل خلال الميركاتو الصيفي 2016 إلى نادي ماء العينين الإمارتي الدرجة النامية.، يلعب حاليا في صفوف نادي أولمبيك خريبكة,في أي نادي يلعب رضى الهجهوج حاليا؟,أولمبيك خريبكة
قامت الدولة العثمانية بالإشراف على المكتبة وعينت أمناء لها ومنهم مفتي مدينة استانبول الشيخ نوري أفندي التركي، وبعد حكم الأشراف اهتموا بالمكتبة وأشرفوا عليها وعينوا عبد القادر حواري أمينًا لها والذي استمر في منصبه حتى بدايات الحكم السعودي، وبعد إنشاء وزارة الأوقاف السعودية ضمت إليها وكان ذلك في عام 1380هـ/1960م.,من هم الذين استمروا في الإشراف على المكتبة بعد مرور الوقت؟,الأشراف و عبد القادر حواري
تُشارك 16 فئة في المهرجان ويُشترط أن تحتوي كل فئة على 20 خيلًا، وأن يكون الجواد مفطومًا، وأن يزيد عمره عن 6 أشهر، وتُمنح النقاط للخيول المشاركة بناءً على الهرولة والوقوف والمشي وفقًا لتعليمات مدير الميدان، على أن تُسجل النقاط عن طريق لجنة التحكيم بالاستناد على معايير نوع الخيل وقوامه ورأسه وعنقه وجسمه ومظهره حركته.,كيف تُحسب النقاط للخيول في المهرجان؟,بناءً على هرولة ووقوف ومشي الخيل
منذ عام 1975، عندما حصل ساو تومي وبرينسيبي على الاستقلال عن البرتغال، شغلت ألدا العديد من المناصب العليا في الحكومة، منها وزيرة التعليم والثقافة، ووزيرة الإعلام والثقافة، ورئيسة الجمعية الوطنية، والأمين العام للاتحاد الوطني للكتاب وفناني ساو تومي وبرينسيبي.,ما هي المناصب التي شغلتها ألدا في الحكومة؟,وزيرة التعليم ووزيرة الإعلام ورئيسة الجمعية الوطنية والأمين العام.
بينيتو بيريث جالدوس روائي وكاتب مسرحي ومؤرخ إسباني، ولد في لاس بالماس في كناريا الكبرى في مدريد في 10 مايو 1843. اشتهر بأنه ممثل للرواية الواقعية في القرن التاسع عشر في إسبانيا. ويعد جالدوس واحدا من أهم الكتاب الذي كتبوا باللغة الإسبانية. وتوفي في مدريد في 1920.,متى توفي بينيتو بيريث جالدوس؟,في عام 1920
إن شدفة الدنا (transfer DNA) (اختصارًا T-DNA) هو الحمض النووي الخاص بـ بلازميد مسبب الأورام (تي بلازميد) في بعض سلالات البكتريا مثل الأجرعية المورمة والأجروبكتريم رايزوجينيس. وتشتق شدفة الدنا اسمها من حقيقة أن البكتريا تنقل أجزاء الدنا داخل نواة مجين الدنا في النبات المضيف. ويحد شدفة الدنا 25 زوجًا قاعديًا يتكررون عند كل حافة. ويبدأ الانتقال من الحد الشمالي وينتهي عند الحد الأيمن ويحتاج إلى جينات الفوعة من تي بلازميد.,ما هي وظيفة شدفة الدنا في البكتيريا؟,نقل أجزاء الدنا إلى نواة مجين النبات المضيف.
كما يعكس تطور مادبا المعماري والمدني، الظروف التاريخيّة والدينيّة والاجتماعيّة الخاصة بإعادة استيطان المدينة في أواخر القرن التاسع عشر، فكانت عمارة المدينة أساسًا من المحتوى الاجتماعي لمكونيها من العائلات المسيحية التي انتقلت من الكرك إلى مادبا في تلك الفترة، والتي قامت ببناء المباني سواء المدنيّة منها أو التجاريّة والحكوميّة، والتي لا تزال موجودة للآن في منطقة وسط المدينة والتي تشبه لحد كبير تصاميم المباني الموجودة في باقي منطقة بلاد الشام. حيث تضم مدينة مادبا ومحيطها مجموعة كبيرة من البيوت التراثيّة التي تجسد العمارة التقليديّة للمجتمع الأردني (يبلغ عددها 25 بيتًا في المدينة وحدها، تحوّل بعضها إلى متاحف ومطاعم وبازارات واستثمارات أخرى). وتمتاز تلك البيوت ذات أنماط العمارة التقليدية ببساطة البناء المتكيّف مع البيئة والمناخ، حيث شُيدت بمواد بناء متوافرة محليًا، مثل الطين والقش والقصب، وذلك لحماية السكان من برد الشتاء والحيوانات المفترسة. لقد كانت بيوت مادبا القديمة المبنية على طراز القناطر، تضم جزء أساسي في تكوينها، وهو الحوش. وكان من مكونات بعض تلك البيوت الخارجيّة ما يشبه مصطبة مرتفعة كانت بمثابة مكان للسهر صيفًا. كما يوجد في أعلى البوابات فتحات للتهوية وللسماح بدخول أشعة الشمس وتمرير الهواء إلى داخل الدار. كما يتميز البيت المادبي القديم، بتنوع الزخرفة وتصوير المواضيع الزخرفية النباتية والهندسية، وبارتفاع الأسقف الحجريّة.,ما هي وظيفة المصطبة المرتفعة في بيوت مادبا القديمة؟,مكان للسهر صيفًا.
الأمر الثالث هو وجود هنري كيسنجر وزير الخارجية الأمريكي وهو يهودي هاجرت عائلته من ألمانيا إلى الولايات المتحدة الأمريكية عام 1938، وكان يهدف من وراء خلط الأوراق على الساحة الفلسطينية إنهاء وجود م.ت.ف الرقم الأصعب في حل معادلة القضية الفلسطينية وإنهاء الهوية الفلسطينية التي هي نقيض الوجود الصهيوني على أرض فلسطين.,ما هدفه من خلط الأوراق على الساحة الفلسطينية؟,إنهاء الهوية الفلسطينية
انتهت حمى الذهب في كاليفورنيا في عام 1855م وأما جيمس مارشال الذي وجد الذهب فقد مات فقيرا معدما، مع ذلك كان لحمى الذهب إيجابيات كثيرة على ولاية كاليفورنيا إذ استقر فيها الكثير من التجار ورجال الأعمال الذين كان لهم فضل في تطوير ولاية كاليفورنيا.,ما أثر حمى الذهب على ولاية كاليفورنيا؟,زادت استقرار التجار ورجال الأعمال فيها
خارج غرف جاك، في أراضي كلية سانت أولاف، يحاول الشابان محاثة البنات بمفردهن لكي يعترفوا لهن بحبهم. ومع ذلك، ومع ذلك لا يستطيعوا فعل ذلك بسبب وجود بابس بشخصية دونا لوسيا. يقرر والد جاك، السير فرانسيس، أن يقترح الزواج من دونا لوسيا، من أجل مالها فقط. يأمر جاك بابس سريعا أن يخذل والده بشكل لطيف. يقوم بابس بذلك، وهو ما يجه السير فرانسيس أنه مصدر ارتياح له. لا زال سبيتيج يريد الزواج من «دونا لوسيا» من أجل أموالها.,لماذا يريد سبيتيج الزواج من دونا لوسيا؟,من أجل أموالها
جو جيل هو فنان قصص مصورة أمريكي، ولد في 13 يوليو 1919 في سكرانتون في الولايات المتحدة، وتوفي في 17 ديسمبر 2006 في في الولايات المتحدة.,في أي مدينة ولد جو جيل؟,في سكرانتون
الطالعة الكبيرة هو واحد من أطول وأهم الشوارع في فاس البالي، المدينة القديمة في فاس، المغرب. ويمتد الشارع من الشرق إلى الغرب تقريبا، بدءا بالقرب من بوابتي باب بو جلود وباب المحروق في الغرب وانتهاءً بمدراسة العطارين في شرق، بالقرب من جامعة القرويين.,أين ينتهي الطالعة الكبيرة في فاس البالي؟,مدراسة العطارين
تتمثل وظيفة معوض الطفو في السماح للغواص بضبط الطفو تحت الماء أو على السطح في نطاق سلبي قليلاً إلى موجب قليلاً، للسماح بالطفو المحايد الذي يجب الحفاظ عليه طوال نطاق عمق الغوص المخطط، ولتعويض التغييرات في الوزن بسبب استنشاق الغاز أثناء الغوص. تعتمد الاختلافات في طفو بدلة الغوص على حجم وكثافة البدلة والضغط المحيط، ولكن بالنسبة للبدلات السميكة يمكن أن تكون في حدود 10 كجم.,لماذا قد تختلف طفو بدلة الغوص؟,بسبب حجم وضغط البدلة
"بلغ عدد سكان بالمهورست 4,872 نسمة بحسب تعداد عام 2000، وبلغ عدد الأسر 1,226 أسرة وعدد العائلات 1,111 عائلة مقيمة في المدينة. في حين سجلت الكثافة السكانية . وبلغ عدد الوحدات السكنية 1,739 وحدة بمتوسط كثافة قدره .",كم عدد الوحدات السكنية بالمدينة؟,"1,739 وحدة"
قام برنامج FOCUS الذي يديره صندوق رعاية مرضى الإيدز في العائلة في زيمبابوي بتجميع المتطوعين في المجتمع من أجل زيارة وتشجيع أكثر من 4000 طفل يتيم.,من أين جمع برنامج FOCUS المتطوعين؟,المجتمع
مۭــھــٰا̍د، مهاد، مہهاد، مهاد، مهادِ. ، م͠هاد͠. ، م̷هاد̷ِ. ، م̲هاد̲ ، مـهاڍ، مهاد̀́. ،مـْـْْـْهاڊ. ، م̯͡هاد̯͡. ، مـ♥̨̥̬̩هاد. ،مهادِ. ،مــھــاد، مـھٱد,ما العنصر المشترك في جميع الكلمات المذكورة؟,اسم مهاد
ترجع شهرتها إلى الدور الذي أدّته في حجز السفارة الأميركية في 4 من نوفمبر عام 1979م، وإلى رئاستها على منظمة صيانة البيئة في فترة رئاسة السيد محمد خاتمي التي استغرقت 8 سنوات، كما أنّها أصبحت رئيسة على تلك المنظمة منذ أن أصبح حسن روحاني رئيساً للجمهورية. كانت «ابتكار» في قضية حجز السفارة الأميركية وحجز الرهائن الأميركيّين ناطقة باسم المرتهنين. كما أنّها كانت نائبة في مجلس طهران المحلّي لمدة 7 سنوات.,متى كانت نائبة في مجلس طهران المحلي؟,7 سنوات
بدأ مع فريق النصر الأول عام 1989 وحقق معه بطولتين، الأولى في العام نفسه وهي بطولة الدوري السعودي الممتاز والبطولة الثانية في العام الذي يليه عندما حقق مع الفريق بطولة كأس الملك السعودي، يعد ماجد الجمعان صاحب أسرع هدف في تاريخ ديربي السعودية عندما سجل هدف فريقه النصر في مرمى فريق الهلال عند الثانية 34 من الشوط الأول عام 1990.,كم استغرق الوقت لماجد الجمعان لتسجيل أسرع هدف في ديربي السعودية؟,34 ثانية
وفقًا للمجلس الوطني لمنع التمييز (CONAPRED)، فإن السكان الأصليين والمثليين والسود هم أكثر الجماعات تعرضًا للتمييز في المكسيك. وعلى حد تعبير الباحثة ألكسندرا هاس، «في المكسيك، على عكس ما يحدث في دول أخرى مثل الولايات المتحدة، تؤثر العنصرية على أغلبية سكانية بدلاً من أقلية ذات امتياز».,ما الجماعات الأكثر تعرضًا للتمييز في المكسيك؟,السكان الأصليون والمثليون والسود
قالت فحملوني على بعير ليس تحتي شيء ثم تركوني ثلاثا لا يطعموني ولا يسقوني وكانوا إذا نزلوا منزلا أوثقوني في الشمس واستظلوا هم منها وحبسوني عن الطعام والشراب فبينا هم قد نزلوا منزلا واوثقوني في الشمس إذا انا ببرد شيء على صدري فتناولته فاذا هو دلو من ماء أحلى من العسل و أبرد من الثلج فشربت منه قليلا ثم نرع مني فرفع ثم عاد فتناولته فشربت منه ثم رفع ثم عاد فتناولته ثم رفع مرارا ثم تركت فشربت حتى رويت ثم افضت سائره على جسدي وثيابي فلما استيقظوا إذا هم بأثر الماء ورأوني حسنة الهيئة فقالوا لي انحللت فاخذت سقاءنا فشربت منه قلت لا والله لكنه كان من الأمر كذا وكذا قالوا لئن كنت صادقة لدينك خير من ديننا. فلما نظروا إلى اسقيتهم وجدوها كما تركوها فاسلموا عند ذلك واقبلت إلى النبي صلى الله عليه وسلم فوهبت نفسها له بغير مهر فقبلها وخطبها.,لماذا قالوا للفتاة 'إنك صادقة'؟,لأنها أعادت إسقاط الماء كما تركوه.
الهرمون الإفرازي أو العامل الإفرازي هو هرمون وظيفته الأساسية هي التحكم في إفراز هرمون آخر. الهرمونات الإفرازية الأساسية التي يفرزها الوطاء هي:,ما هي الهرمونات الإفرازية الأساسية التي يفرزها الوطاء؟,غير معروفة بالضبط
هذا المخلوق متكيف لتحقيق استفادة قصوى من الطعام المحيط به فهو يتمتع بعضلات فكين قوية، وفكه نفسه ضخم، وله أسنان طاحنة أكبر بأربع مرات مما لدى الإنسان، الأمر الذي يمكنه من تناول أقسى النباتات، كجذور القصب وفروع شجرة الأكاسيا.,ما نوع الطعام القاسي الذي يمكن للمخلوق تناوله بفضل أسنانه؟,جذور القصب وفروع شجرة الأكاسيا
في العام 2005، دخل ليبر في شراكة مع لاري رودولف وأَسس شركة ReignDeer Entertainment، وهي شركة ترفيهية كاملة الخدمات تشارك في إدارة الفنانين والإنتاج التلفزيوني والأفلام. وقعوا معا عقد مع مايلي سايروس، وأَدارا أعمال بريتني سبيرز، إيروسميث، Will.i.am، أفريل لافين، فيفث هارموني والمزيد.,من الفنانين الذين أدارت شركة ReignDeer Entertainment أعمالهم؟,مايلي سايروس، بريتني سبيرز، إيروسميث، Will.i.am، أفريل لافين، فيفث هارموني
